Unnamed: 0,Company,PriceRs.,Day HighRs.
0,Camlin Fine Sciences,158.79,160.9
1,Shree Rama News,35.26,36.26
2,Bio Green Papers,61.45,61.45
3,Colab Platforms,61.46,61.46
4,Fischer Medical,760.4,870.0
5,Kandagiri Spg Mills,40.75,40.75
6,Yuvraaj Hygiene Prod,10.68,10.68
7,Kuberan Global Edu,31.88,31.88
8,Cupid Brew.&Dist,150.5,150.5
9,Premier Capital Serv,7.95,7.95
10,Mahamaya Steel Inds,242.35,242.35
11,Rajasthan Tube Mfg,153.95,153.95
12,Relic Tech.,46.43,46.43
13,Guj. Inject (Kerala),27.0,29.0
14,Swojas Foods,14.16,14.16
